Person ID,Name,Freebase ID
640,Chris Kentis,
642,Laura Lau,
643,Gong Li,
644,Blanchard Ryan,/en/blanchard_ryan
646,Daniel Travis,/en/daniel_travis
647,Dion Beebe,
648,Philip Kaufman,
649,Vernon Dobtcheff,/en/vernon_dobtcheff
650,Karen Allen,/en/karen_allen
651,Louise Lemoine Torrès,
652,Paul Freeman,/en/paul_freeman
653,Ronald Lacey,/en/ronald_lacey
654,Rodolphe Pauly,
655,John Rhys-Davies,/en/john_rhys-davies
656,Denholm Elliott,/en/denholm_elliott
657,Mariane Plasteig,
658,Alfred Molina,/en/alfred_molina
659,Wolf Kahler,
660,Anthony Higgins,/en/anthony_higgins_1947
661,Vic Tablian,
662,Don Fellows,/en/don_fellows
663,William Hootkins,/en/william_hootkins
664,Frank Marshall,/en/frank_marshall_1946
665,Howard G. Kazanjian,
666,Douglas Slocombe,
668,Mary Selway,
669,Norman Reynolds,
670,Ben Burtt,/en/ben_burtt
671,Richard L. Anderson,
672,Oskar Roehler,
673,Bernd Eichinger,/en/bernd_eichinger
674,Oliver Berben,
675,Christian Ulmen,
677,Moritz Bleibtreu,
678,Martina Gedeck,
679,Franka Potente,/en/franka_potente
680,Corinna Harfouch,
681,Nina Hoss,
682,Uwe Ochsenknecht,/en/uwe_ochsenknecht
683,Jasmin Tabatabai,
684,Tom Schilling,
685,Nina Kronjäger,
686,Willard Huyck,
687,Gloria Katz,
688,Hermann Beyer,
689,Kate Capshaw,/en/kate_capshaw
690,Ke Huy Quan,/en/jonathan_ke_quan
691,Amrish Puri,
692,Jennifer Ulrich,
693,Roshan Seth,/en/roshan_seth
694,Philip Stone,/en/philip_stone
695,Roy Chiao,
696,David Yip,/en/david_yip
697,Michael Gwisdek,
699,Chua Kah Joo,
700,Carl-Friedrich Koschnick,
701,Rex Ngui,
702,Philip Tan,
703,Peter R. Adam,
707,Dan Aykroyd,/en/dan_aykroyd
708,Martin Todsharow,
709,Ingrid Henn,
710,An Dorthe Braker,
711,Robert Watts,
714,Ulrike Kriener,
715,Elliot Scott,
716,Emile Ardolino,/en/emile_ardolino
717,Eleanor Bergstein,
718,Linda Gottlieb,
719,John Morris,
720,Jeffrey Jur,
721,Peter C. Frank,
722,Jennifer Grey,/en/jennifer_grey
723,Patrick Swayze,/en/patrick_swayze
724,Cynthia Rhodes,/en/cynthia_rhodes
725,Jerry Orbach,/en/jerry_orbach
726,Jack Weston,/en/jack_weston
727,Jane Brucker,/en/jane_brucker
728,Kelly Bishop,/en/kelly_bishop
729,Lonny Price,/en/lonny_price
730,Max Cantor,
733,Alvin Myerovich,
734,Paula Trueman,/en/paula_trueman
